City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Erenhot,CN,2022-09-18 22:58:25,43.6475,111.9767,50.79,31,99,8.5
253,Ewo,CG,2022-09-18 22:58:26,-0.8725,14.8206,73.47,89,100,0.47
254,Pacific Grove,US,2022-09-18 22:58:26,36.6177,-121.9166,66.42,81,100,17.0
255,Lumajang,ID,2022-09-18 22:58:26,-8.1335,113.2248,75.07,89,97,2.68
256,Darien,US,2022-09-18 22:57:10,41.752,-87.974,86.7,60,20,8.05
257,Naze,JP,2022-09-18 22:58:27,28.3667,129.4833,79.72,86,100,19.42
258,Agirish,RU,2022-09-18 22:58:27,61.9247,63.0231,46.33,87,27,7.47
259,Lazarev,RU,2022-09-18 22:58:28,52.225,141.5131,60.17,82,97,21.18
260,Makasar,ID,2022-09-18 22:56:31,-5.14,119.4221,73.45,94,20,2.3
261,Vikhorevka,RU,2022-09-18 22:58:29,56.1201,101.1636,38.79,89,83,2.62
262,Kasongo,CD,2022-09-18 22:58:29,-4.45,26.6667,68.27,94,100,6.46
263,Northam,GB,2022-09-18 22:58:29,51.0333,-4.2167,51.62,87,22,5.21
264,Chapleau,CA,2022-09-18 22:58:30,47.8405,-83.4034,62.69,100,100,4.61
265,East London,ZA,2022-09-18 22:56:17,-33.0153,27.9116,59.25,89,100,8.14
266,Ixtapa,MX,2022-09-18 22:58:30,20.7,-105.2,83.23,83,100,1.01
267,Namibe,AO,2022-09-18 22:58:30,-15.1961,12.1522,61.72,86,78,9.66
268,Bara,NG,2022-09-18 22:58:31,10.3744,10.7288,73.45,94,100,5.88
269,Nouadhibou,MR,2022-09-18 22:58:31,20.931,-17.0347,73.38,83,0,18.41
270,Puerto Madryn,AR,2022-09-18 22:58:32,-42.7692,-65.0385,45.91,58,100,17.47
271,Qaqortoq,GL,2022-09-18 22:59:33,60.7167,-46.0333,46.36,86,97,4.0
272,Abu Kamal,SY,2022-09-18 22:59:33,34.4506,40.9171,85.41,15,0,8.86
273,Rawson,AR,2022-09-18 22:59:34,-43.3002,-65.1023,45.48,61,100,15.7
274,Novyy Urengoy,RU,2022-09-18 22:59:35,66.0833,76.6333,48.02,94,100,8.48
275,Narsaq,GL,2022-09-18 22:59:35,60.9167,-46.05,47.39,76,98,4.21
276,Port-Gentil,GA,2022-09-18 22:59:36,-0.7193,8.7815,76.96,83,75,11.5
277,San Angelo,US,2022-09-18 22:59:37,31.4638,-100.437,94.6,30,0,5.99
278,Vestmannaeyjar,IS,2022-09-18 22:59:37,63.4427,-20.2734,48.56,87,100,31.56
279,Iquitos,PE,2022-09-18 22:54:59,-3.7481,-73.2472,87.84,62,20,1.14
280,Fort Nelson,CA,2022-09-18 22:59:38,58.8053,-122.7002,60.39,41,75,18.41
281,Idanre,NG,2022-09-18 22:59:38,7.1127,5.1159,70.61,99,100,3.6
282,Kirgiz-Miyaki,RU,2022-09-18 22:59:38,53.6324,54.7979,63.59,63,100,10.74
283,Port Blair,IN,2022-09-18 22:59:39,11.6667,92.75,82.44,78,40,10.36
284,Yulara,AU,2022-09-18 22:59:39,-25.2406,130.9889,66.02,25,0,10.07
285,Namatanai,PG,2022-09-18 22:59:40,-3.6667,152.4333,82.08,75,93,6.4
286,Pisco,PE,2022-09-18 22:54:57,-13.7,-76.2167,64.45,77,0,8.05
287,Rodrigues Alves,BR,2022-09-18 22:59:42,-7.738,-72.6509,88.0,46,44,3.51
288,Carupano,VE,2022-09-18 22:59:42,10.6678,-63.2585,81.23,82,68,6.13
289,Manzanillo,CU,2022-09-18 22:59:43,20.3433,-77.1167,84.47,67,38,5.84
290,Bayanday,RU,2022-09-18 22:59:43,53.0661,105.5139,33.58,83,20,2.86
291,Vao,NC,2022-09-18 22:59:44,-22.6667,167.4833,73.38,73,100,11.88
292,Jalu,LY,2022-09-18 22:59:45,29.0331,21.5482,82.98,23,0,7.25
293,Cartagena,CO,2022-09-18 22:59:46,10.3997,-75.5144,76.62,94,75,6.91
294,Shalinskoye,RU,2022-09-18 22:59:46,55.7228,93.7594,39.04,86,82,5.1
295,Yadrin,RU,2022-09-18 22:59:47,55.9405,46.2062,60.06,93,98,12.57
