City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Saldanha,ZA,-33.0117,17.9442,51.85,84,12,5.61,few clouds
217,Sulangan,PH,11.1373,123.7228,82.67,75,98,7.25,overcast clouds
218,Cidreira,BR,-30.1811,-50.2056,63.16,84,80,12.28,moderate rain
219,Madaoua,NE,14.073,5.96,89.13,46,32,5.91,scattered clouds
220,Bashmakovo,RU,53.2133,43.0342,54.23,84,100,3.58,overcast clouds
221,Santa Rosa,PH,14.3122,121.1114,80.58,90,100,7.43,overcast clouds
222,Cabo San Lucas,MX,22.8909,-109.9124,86.18,73,12,8.32,few clouds
223,Byron Bay,AU,-28.65,153.6167,64.36,90,100,17.96,light rain
224,Damietta,EG,31.4165,31.8133,78.69,64,0,7.4,clear sky
225,Nanakuli,US,21.3906,-158.1547,87.75,65,85,8.12,overcast clouds
226,Arlit,NE,18.7369,7.3853,88.34,38,45,14.99,light rain
227,Katherine,AU,-14.4667,132.2667,80.92,65,57,1.14,broken clouds
228,Noyabrsk,RU,63.1994,75.4507,49.33,82,96,18.41,overcast clouds
229,Bambanglipuro,ID,-7.95,110.2833,76.05,90,100,9.84,overcast clouds
230,Constitucion,CL,-35.3333,-72.4167,53.29,62,37,12.28,scattered clouds
231,Dubbo,AU,-32.25,148.6167,55.53,94,100,6.91,overcast clouds
232,Ouesso,CG,1.6136,16.0517,71.64,97,99,0.63,moderate rain
233,Bastia,FR,42.6667,9.3333,70.3,63,20,4.61,few clouds
234,Bac Lieu,VN,9.285,105.7244,78.62,85,100,11.5,light rain
235,Onverwacht,SR,5.5833,-55.1833,83.86,84,40,6.91,thunderstorm
236,Fergus Falls,US,46.283,-96.0776,61.86,55,75,19.57,broken clouds
237,Upernavik,GL,72.7868,-56.1549,33.31,75,99,4.36,overcast clouds
238,Tarakan,ID,3.3,117.6333,72.9,100,40,0.0,scattered clouds
239,Kangaatsiaq,GL,68.3065,-53.4641,35.22,97,100,6.15,light snow
240,Linxia,CN,35.6003,103.2064,57.7,51,100,3.36,overcast clouds
241,Biankouma,CI,7.7391,-7.6138,68.88,98,86,3.24,light rain
242,Kjollefjord,NO,70.9457,27.3465,50.05,93,100,16.11,moderate rain
243,Otavi,NA,-19.65,17.3333,67.98,16,0,5.3,clear sky
244,Tasiilaq,GL,65.6145,-37.6368,37.56,92,63,4.54,broken clouds
245,Pangody,RU,65.85,74.4859,39.96,77,96,14.79,overcast clouds
246,Nanortalik,GL,60.1432,-45.2371,42.91,70,13,7.38,few clouds
247,Hope,US,33.6671,-93.5916,96.08,24,6,5.53,clear sky
248,Cascais,PT,38.6979,-9.4215,71.94,92,20,11.99,few clouds
249,Tashigang,BT,27.3331,91.5542,67.89,90,50,2.86,scattered clouds
250,Saint George,US,37.1041,-113.5841,88.43,35,75,23.02,broken clouds
